,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
2366,8082,1,8610000US02190,437596,382,2017,02190
2372,1190,1,8610000US02191,40595,142,2017,02191
2381,12,1,8610000US02196,1400,8,2017,02196
2383,20382,1,8610000US02199,2883801,280,2017,02199
2393,37,1,8610000US02201,2312,6,2017,02201
2395,58,1,8610000US02203,3241,14,2017,02203
2397,103,1,8610000US02205,4664,12,2017,02205
2399,50990,1,8610000US02210,6734760,1050,2017,02210
2409,52666,1,8610000US02215,3613112,565,2017,02215
2419,24,1,8610000US02222,1350,8,2017,02222
2424,1360,1,8610000US02269,112503,18,2017,02269
2428,25769,1,8610000US02301,1136042,1389,2017,02301
2437,7403,1,8610000US02302,417298,404,2017,02302
2450,4817,1,8610000US02322,282623,229,2017,02322
2456,5957,1,8610000US02324,254652,527,2017,02324
2465,33,1,8610000US02327,565,7,2017,02327
2468,1591,1,8610000US02330,64192,200,2017,02330
2473,140,1,8610000US02331,5010,36,2017,02331
2477,2314,1,8610000US02332,94088,323,2017,02332
2483,2198,1,8610000US02333,87025,269,2017,02333
2490,222,1,8610000US02334,7308,24,2017,02334
2494,970,1,8610000US02338,39429,108,2017,02338
2499,7981,1,8610000US02339,331685,640,2017,02339
2506,1372,1,8610000US02341,54148,185,2017,02341
2511,2583,1,8610000US02343,132435,267,2017,02343
2517,360,1,8610000US02345,10640,19,2017,02345
2520,7394,1,8610000US02346,298759,559,2017,02346
2528,3051,1,8610000US02347,189840,305,2017,02347
2534,3626,1,8610000US02351,147084,338,2017,02351
2541,23,1,8610000US02355,693,5,2017,02355
2543,3010,1,8610000US02356,108987,284,2017,02356
2552,55,1,8610000US02358,2386,8,2017,02358
2554,6280,1,8610000US02359,300208,537,2017,02359
2562,24348,1,8610000US02360,1158430,1582,2017,02360
2569,120,1,8610000US02361,6268,11,2017,02361
2572,360,1,8610000US02362,17934,16,2017,02362
2575,5243,1,8610000US02364,178532,389,2017,02364
2583,65,1,8610000US02366,1514,9,2017,02366
2585,1409,1,8610000US02367,103297,67,2017,02367
2590,8475,1,8610000US02368,355372,614,2017,02368
2593,6678,1,8610000US02370,486279,490,2017,02370
2604,6189,1,8610000US02375,295939,405,2017,02375
2611,6844,1,8610000US02379,347305,378,2017,02379
2617,2237,1,8610000US02382,81250,239,2017,02382
2624,5147,1,8610000US02420,256045,513,2017,02420
2628,14004,1,8610000US02421,1652904,557,2017,02421
2640,4614,1,8610000US02445,216467,478,2017,02445
2646,6919,1,8610000US02446,271842,750,2017,02446
2654,15,1,8610000US02447,430,5,2017,02447
2656,49729,1,8610000US02451,5271522,1300,2017,02451
2666,7959,1,8610000US02452,454657,466,2017,02452
2673,16494,1,8610000US02453,1147962,852,2017,02453
2682,1092,1,8610000US02454,121306,42,2017,02454
2687,35,1,8610000US02455,4126,6,2017,02455
2689,4,1,8610000US02456,388,3,2017,02456
2695,8169,1,8610000US02458,649643,529,2017,02458
2703,11846,1,8610000US02459,816618,733,2017,02459
2714,2436,1,8610000US02461,163430,265,2017,02461
2721,2497,1,8610000US02460,107339,272,2017,02460
2723,5629,1,8610000US02462,484721,106,2017,02462
2730,5197,1,8610000US02464,383900,256,2017,02464
2734,2575,1,8610000US02465,127403,320,2017,02465
2741,9000,1,8610000US02466,632169,275,2017,02466
2751,12521,1,8610000US02467,563974,539,2017,02467
2758,409,1,8610000US02468,20834,92,2017,02468
2762,20494,1,8610000US02472,1544181,1008,2017,02472
2763,680,1,8610000US02471,55456,17,2017,02471
2774,3808,1,8610000US02474,147522,468,2017,02474
2780,3874,1,8610000US02476,175792,414,2017,02476
2787,6851,1,8610000US02478,321408,604,2017,02478
2794,14835,1,8610000US02481,1372833,722,2017,02481
2802,4452,1,8610000US02482,253786,443,2017,02482
2810,6877,1,8610000US02492,323213,558,2017,02492
2817,4071,1,8610000US02493,243409,326,2017,02493
2824,14665,1,8610000US02494,1469320,702,2017,02494
