,ZCTA,n_households,med_income,population,density,city,state_id,state_name,lat,lng,Unnamed: 0,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
2882,12025,2248,66548,5404,58.6,Broadalbin,NY,New York,43.0833,-74.13600000000001,17197,358,1,8610000US12025,12124,90,2017,12025
2883,12027,1466,92159,3815,208.9,Burnt Hills,NY,New York,42.92248,-73.90722,17203,855,1,8610000US12027,37883,110,2017,12027
2884,12028,317,69338,929,20.0,Buskirk,NY,New York,42.93994,-73.44319,17209,30,1,8610000US12028,892,11,2017,12028
2885,12029,400,84342,1104,21.4,Canaan,NY,New York,42.406659999999995,-73.42661,17211,241,1,8610000US12029,7547,32,2017,12029
2886,12032,382,47738,853,3.6,Caroga Lake,NY,New York,43.23362,-74.55081,17213,48,1,8610000US12032,1607,16,2017,12032
2887,12033,3126,73521,7924,112.3,Castleton On Hudson,NY,New York,42.53754,-73.70714,17215,1908,1,8610000US12033,88971,193,2017,12033
2888,12035,286,35921,856,49.7,Central Bridge,NY,New York,42.731770000000004,-74.35151,17221,45,1,8610000US12035,1461,8,2017,12035
2889,12036,111,41696,224,11.9,Charlotteville,NY,New York,42.54077,-74.67729,17223,14,1,8610000US12036,605,5,2017,12036
2890,12037,1852,63182,4444,50.3,Chatham,NY,New York,42.34517,-73.56853000000001,17225,940,1,8610000US12037,36580,154,2017,12037
2891,12040,63,40809,163,33.4,Cherry Plain,NY,New York,42.63738,-73.35077,17230,11,1,8610000US12040,211,3,2017,12040
2892,12041,243,87566,638,117.4,Clarksville,NY,New York,42.58328,-73.96423,17231,32,1,8610000US12041,1117,11,2017,12041
2893,12042,118,44583,196,24.1,Climax,NY,New York,42.4021,-73.92019,17234,50,1,8610000US12042,646,6,2017,12042
2894,12043,3026,48778,8171,53.2,Cobleskill,NY,New York,42.70454,-74.52275,17236,2963,1,8610000US12043,103385,232,2017,12043
2895,12045,196,51389,475,307.2,Coeymans,NY,New York,42.476929999999996,-73.7952,17244,74,1,8610000US12045,3835,14,2017,12045
2896,12047,8978,53977,20935,859.9,Cohoes,NY,New York,42.784009999999995,-73.72652,17248,3728,1,8610000US12047,183587,346,2017,12047
2897,12051,1405,64777,6421,128.0,Coxsackie,NY,New York,42.344120000000004,-73.84518,17256,1069,1,8610000US12051,47860,61,2017,12051
2898,12052,716,66579,1597,20.0,Cropseyville,NY,New York,42.75397,-73.47861,17262,92,1,8610000US12052,2922,21,2017,12052
2899,12053,1509,85721,4621,28.6,Delanson,NY,New York,42.753640000000004,-74.1923,17266,400,1,8610000US12053,14211,65,2017,12053
2900,12054,6883,100677,16649,422.8,Delmar,NY,New York,42.60873,-73.86589000000001,17271,2843,1,8610000US12054,86032,373,2017,12054
2901,12056,689,84150,2743,49.5,Duanesburg,NY,New York,42.7666,-74.09025,17276,356,1,8610000US12056,13156,66,2017,12056
2902,12057,867,60625,2036,20.1,Eagle Bridge,NY,New York,42.96978,-73.34461999999999,17282,96,1,8610000US12057,3031,16,2017,12057
2903,12058,591,82768,1656,29.0,Earlton,NY,New York,42.34963,-73.92449,17285,50,1,8610000US12058,1884,18,2017,12058
2904,12059,646,84091,1657,24.3,East Berne,NY,New York,42.61213,-74.05894,17288,63,1,8610000US12059,1607,17,2017,12059
2905,12060,636,71500,1551,16.9,East Chatham,NY,New York,42.416779999999996,-73.49419,17290,79,1,8610000US12060,3082,37,2017,12060
2906,12061,3629,82378,9325,173.6,East Greenbush,NY,New York,42.5982,-73.65568,17294,4606,1,8610000US12061,220500,245,2017,12061
2907,12062,646,72500,1730,23.7,East Nassau,NY,New York,42.531000000000006,-73.50806999999999,17300,72,1,8610000US12062,2897,15,2017,12062
2908,12063,138,81607,400,120.3,East Schodack,NY,New York,42.56505,-73.63758,17303,13,1,8610000US12063,813,4,2017,12063
2909,12064,204,44545,380,19.0,East Worcester,NY,New York,42.61432,-74.65729,17305,63,1,8610000US12064,2437,6,2017,12064
2910,12065,17591,86892,42868,462.2,Clifton Park,NY,New York,42.853159999999995,-73.78650999999999,17307,18283,1,8610000US12065,809561,1290,2017,12065
2911,12066,771,62284,1784,24.6,Esperance,NY,New York,42.78058,-74.31051,17316,208,1,8610000US12066,6353,37,2017,12066
2912,12067,598,75909,1635,27.2,Feura Bush,NY,New York,42.55614,-73.92634,17320,626,1,8610000US12067,33190,28,2017,12067
2913,12068,1224,58673,3083,40.1,Fonda,NY,New York,42.955459999999995,-74.40904,17324,1233,1,8610000US12068,39442,64,2017,12068
2914,12070,629,65433,1860,44.5,Fort Johnson,NY,New York,42.98467,-74.25386,17327,74,1,8610000US12070,2445,14,2017,12070
2915,12072,933,50156,2884,23.2,Fultonville,NY,New York,42.88465,-74.3623,17329,668,1,8610000US12072,26700,67,2017,12072
2916,12074,1223,71314,2895,32.1,Galway,NY,New York,43.05038,-74.0445,17335,184,1,8610000US12074,5347,48,2017,12074
2917,12075,1125,61922,2850,33.6,Ghent,NY,New York,42.29983,-73.63382,17338,943,1,8610000US12075,32982,98,2017,12075
2918,12076,626,57778,1514,7.7,Gilboa,NY,New York,42.41002,-74.38858,17343,76,1,8610000US12076,6497,23,2017,12076
2919,12077,2489,98716,6823,239.1,Glenmont,NY,New York,42.59437,-73.78408,17345,3305,1,8610000US12077,137315,200,2017,12077
2920,12078,10011,40692,23381,84.6,Gloversville,NY,New York,43.1238,-74.36368,17353,5854,1,8610000US12078,207924,456,2017,12078
2921,12083,1438,72035,3760,34.0,Greenville,NY,New York,42.4303,-74.02664,17360,634,1,8610000US12083,27537,88,2017,12083
2922,12084,2052,64868,4959,457.2,Guilderland,NY,New York,42.704190000000004,-73.90089,17365,1812,1,8610000US12084,54550,182,2017,12084
2923,12085,140,43710,434,1053.4,Guilderland Center,NY,New York,42.70335,-73.96333,17377,640,1,8610000US12085,32044,39,2017,12085
2924,12086,714,57727,1505,118.9,Hagaman,NY,New York,42.9972,-74.10670999999999,17373,303,1,8610000US12086,6811,25,2017,12086
2925,12087,335,73720,1053,21.0,Hannacroix,NY,New York,42.43247,-73.89778000000001,17380,88,1,8610000US12087,3596,16,2017,12087
2926,12089,66,94904,115,49.1,Hoosick,NY,New York,42.86787,-73.31205,17383,114,1,8610000US12089,3974,17,2017,12089
2927,12090,2482,49444,6139,42.4,Hoosick Falls,NY,New York,42.88022,-73.35531999999999,17386,844,1,8610000US12090,26311,97,2017,12090
2928,12092,342,32692,706,33.7,Howes Cave,NY,New York,42.70125,-74.37658,17391,139,1,8610000US12092,5507,12,2017,12092
2929,12093,674,51316,1632,9.8,Jefferson,NY,New York,42.49678,-74.6268,17394,34,1,8610000US12093,622,16,2017,12093
2930,12094,915,81850,2550,31.0,Johnsonville,NY,New York,42.89332,-73.48836999999999,17396,69,1,8610000US12094,2005,19,2017,12094
2931,12095,4872,51022,12228,80.3,Johnstown,NY,New York,43.02701,-74.40416,17398,6788,1,8610000US12095,232367,371,2017,12095
2932,12106,1095,74688,2427,58.1,Kinderhook,NY,New York,42.38892,-73.71128,17406,223,1,8610000US12106,9530,57,2017,12106
2933,12108,108,66667,395,1.1,Lake Pleasant,NY,New York,43.57407,-74.44934,17410,59,1,8610000US12108,2184,13,2017,12108
2934,12110,7618,76652,22041,575.9,Latham,NY,New York,42.75316,-73.7767,17412,23835,1,8610000US12110,1241128,1210,2017,12110
2935,12116,822,50278,1666,19.2,Maryland,NY,New York,42.537259999999996,-74.91524,17421,45,1,8610000US12116,1369,17,2017,12116
2936,12117,1412,55417,3094,28.0,Mayfield,NY,New York,43.16876,-74.2547,17423,255,1,8610000US12117,7686,60,2017,12117
2937,12118,6465,70042,15218,169.9,Mechanicville,NY,New York,42.91684,-73.72138000000001,17427,2141,1,8610000US12118,87114,236,2017,12118
2938,12120,239,49732,623,13.5,Medusa,NY,New York,42.45136,-74.14421999999999,17432,6,1,8610000US12120,193,4,2017,12120
2939,12121,610,79817,1597,35.9,Melrose,NY,New York,42.845929999999996,-73.60206,17434,109,1,8610000US12121,4774,21,2017,12121
2940,12122,2061,45188,4313,16.4,Middleburgh,NY,New York,42.54808,-74.31659,17437,326,1,8610000US12122,14320,74,2017,12122
